Version:,,,,,,
TriggerVersion:,v4,,,,,
0,0.03168772,-7.07,-4.8,359.9938,0,0
0,0.01517511,-7.07,-4.8,359.9938,0,0
0,0.03217185,-7.07,-4.8,359.9938,0,0
0,0.03862754,-7.07,-4.8,359.9938,0,0
0,0.0134422,-7.07,-4.8,359.9938,0,0
0,0.03145758,-7.07,-4.8,359.9938,0,0
0,0.03697698,-7.07,-4.8,359.9938,0,0
0,0.01553268,-7.07,-4.8,359.9938,0,0
0,0.03073114,-7.07,-4.8,359.9938,0,0
0,0.03767857,-7.07,-4.8,359.9938,0,0
0,0.03146227,-7.07,-4.8,359.9938,0,0
0,0.03368243,-7.07,-4.8,359.9938,0,0
0,0.03348778,-7.07,-4.8,359.9938,0,0
0,0.03315919,-7.07,-4.8,359.9938,0,0
0,0.01562714,-7.07,-4.8,359.9938,0,0
0,0.03203271,-7.07,-4.8,359.9938,0,0
0,0.03699151,-7.07,-4.8,359.9938,0,0
0,0.01513292,-7.07,-4.8,359.9938,0,0
0,0.03086713,-7.07,-4.8,359.9938,0,0
0,0.03755853,-7.07,-4.8,359.9938,0,0
0,0.03257566,-7.07,-4.8,359.452,0,0
0,0.01485835,-7.07,-4.8,359.2047,0,0
0,0.03192038,-7.07,-4.8,358.6734,0,0
0,0.03712611,-7.07,-4.8,358.0551,0,0
0,0.01503891,-7.07,-4.8,357.8046,0,0
0,0.03119284,-7.07,-4.8,357.2849,0,0
0,0.03749824,-7.07,-4.8,356.6598,0,0
0,0.03219859,-7.07,-4.8,356.123,0,0
0,0.01489546,-7.07,-4.8,355.8745,0,0
0,0.03213109,-7.07,-4.8,355.3386,0,0
0,0.0370941,-7.07,-4.8,354.7198,0,0
